artist,hashtag,title,filename,url
Lilly Reich,LillyReich,"Gartentisch (LR 500), 1931",LillyReich2.png,http://www.moma.org/media/W1siZiIsIjIxMjExMCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEyODB4MTI4MD4iXV0?sha=b29289f19458a54e
Natalja Gontscharowa,NataljaGontscharowa,"Liturgy, St. Andrew, 1914",nataljagontscharowa2.jpg,http://www.wikiart.org/en/natalia-goncharova/liturgy-st-andrew
Grete Stern,GreteStern,"Dream 31, Made in England, 1950",GreteStern3.jpg,http://www.nailyaalexandergallery.com/series/stern-selected-images
Otti Berger,OttiBerger,"Teppich, 1930",OttiBerger1.png,https://s-media-cache-ak0.pinimg.com/736x/62/0a/89/620a8954b01610050819b6d903042427.jpg
Elisabeth Epstein,ElisabethEpstein,"Interieur mit Blumen, 1929",elisabethepstein4.png,http://www.artnet.com/artists/elisabeth-epstein/past-auction-results/2
Lucia Moholy,LuciaMoholy,"Lucia Selbstportrait, 1930",luciamoholy2.png,http://bauhaus-online.de/atlas/personen/lucia-moholy
Friedl Dicker-Brandeins,FriedlDicker,"Plakat für Bauhaus-Abend mit Elke Lasker-Schüler, 1920",FreidlDickerBrandeins3.gif,
Marianne von Werefkin,MariannevonWerefkin,"Climat tragique, 1910",werefkin1.jpg,http://img.over-blog-kiwi.com/1/29/16/16/20150609/ob_e8b9db_marie-0.jpg
Gabriele Münter,GabrieleMuenter,"Kadinsky am Schiff, 1910",gabrielemunter1.jpg,http://theredlist.com/media/database/fine_arts/arthistory/painting/der_blaue_reiter/gabriele_munter/001-gabriele-munter-theredlist.jpg
Ise Gropius,IseGropius,"Im Stahlgewirr eines Ozeandampfers, 1928",IseGropius2.png,http://bauhaus-online.de/atlas/personen/ise-gropius-frank
Natalja Gontscharowa,NataljaGontscharowa,"Frauenakt (vor blauem hintergrund), 1909/10",nataljagontscharowa1.jpg,http://www.stadtmagazin07.de/blog/tag/angermuseum-erfurt
Benita Koch-Otte,BenitaKochOtte,"Wandbehang, 1923/24",BenitaKochOtte3.jpg,https://s-media-cache-ak0.pinimg.com/originals/ea/d0/81/ead08191f9b4db90e0a8c5c265c9db02.jpg
Marianne von Werefkin,MariannevonWerefkin,"Ave Maria, 1927",werefkin2.jpg,https://40.media.tumblr.com/4a8c54c26d8f1a67fff97f61b0cefa80/tumblr_mh8vcdQGRI1rwz4k6o1_500.jpg
Marguerite Friedlaender-Wildenhain,MargueriteFriedlaenderWildenhain,"Entwurf Flugzeugtasse, 1932",Friedlaender2.jpg,http://3.bp.blogspot.com/-SMEyCHgKKbg/TdL0TI_griI/AAAAAAAAIpE/j7zHcX2-e34/s640/25.jpg
Sonia Delaunay-Terk,SoniaDelaunayTerk,"Electric Prisms, 1913",soniadelaunay1.jpg,http://www.tate.org.uk/whats-on/tate-modern/exhibition/ey-exhibition-sonia-delaunay
Florence Henri,FlorenceHenri,"Selbstportrait, 1928",FlorenceHenri2.jpg,http://www.kritik-der-fotografie.at/09-Doppelgaenger-2.htm
Gunta Stölzl,GuntaStölzl,"Schlitzgobelin Rot-Grün, 1927-1928",GuntaStolzl3.jpg,http://www.bauhaus.de/images/1998_5_web_hoch-2.jpg?w=800
Maria Marc,MariaMarc,"Webstück, 1922",mariamarc1.jpg,http://www.walchenseemuseum.de/files/seiteninhalte/Malweiber/Gewebte%20Kunst%20von%20Maria%20Marc.jpg
Erma Bossi,ErmaBossi,"Tänzerin in Rot, 1909",ermabossi2.jpg,http://schlossmuseum.swhosting2.de/bilder/sonstige_bilder/Bossi%20Taenzerin%201909_web.jpg
